promotion_sk,transactions,revenue
-5863001087429897797,3,12490.42
-1413633111484266454,4,12461.66
8286859707514825532,3,12419.75
8880844297367386224,3,12290.73
2244143291327374125,5,12210.97
-3340249666597006621,3,12189.75
-1163813832901682892,3,12159.67
-6601386274686036387,2,12136.74
-1597305366449339230,3,12134.27
2840780553310029510,3,12132.27
2141440670186129114,4,12124.92
4788666723486520022,2,12065.66
-3178482946328430151,5,12014.3
3210614951352212141,2,11965.83
-7447310896358588765,4,11932.61
-6320856065278818294,3,11866.09
171927144571985466,3,11811.09
7841387869037510997,3,11766.7
-5354052723135323705,3,11705.42
-6754354515143023309,3,11606.56
-1761817353410950329,2,11482.06
4239921601976906018,5,11436.41
6650640275897249308,5,11420.46
9122574769062264563,4,11416.19
-2753491885508970957,4,11374.11
5380645400848144289,3,11346.09
8066687869042437023,6,11282.8
1016491431326510822,2,11275.64
-4366032978890572418,3,11270.09
1213432631402392020,3,11239.05
4988898017246325858,3,11233.21
8938557188486079296,3,11218.49
7980319894827102044,4,11200.78
1163881171022628349,2,11175.54
-5254148584733779126,4,11167.74
5179521558482897636,2,11151.01
5215248327760926036,5,11113.39
-8129507393564805592,3,10977.2
-1761247279441077201,2,10941.05
-1865669027559263183,3,10932.1
6492641719860612115,2,10931.58
6898837112654815304,4,10809.43
3446680559528853554,2,10800.18
-3575850457384754667,4,10772.75
-3011076966794717166,2,10737.52
3884110180363035348,2,10725.58
845065581568212073,6,10722.54
-2571391031817591535,5,10716.08
-4677977407732917199,3,10702.27
847720120258652452,2,10668.17
4447259506311401193,2,10651.05
8887845060420667400,3,10647.06
5654032242625257445,2,10620.37
4269007880567061913,2,10570.61
-2471154684982979263,2,10478.67
-1463675248607992876,4,10467.8
-5417824235375995027,5,10456.11
5464464519798701087,4,10375.21
-4874150455503669169,4,10372.64
-7896173198376633097,2,10323.33
-3759658423286666624,3,10315.43
-4094572665106051630,2,10284.24
7392435336650688904,3,10179.92
801817121434512539,4,10124.09
-1950673589470615326,5,10099.57
8309552636565338173,3,10075.38
8875967246177928613,3,10067.57
4854879475791064264,3,10063.24
-3850564198039431026,2,10045.89
522818291297442435,2,10039.18
-2139704587681732938,3,9994.22
4030442245109432263,3,9967.56
-2453609912619518279,3,9950.14
1528509831165344540,2,9946.92
-7691672511675477963,1,9924.37
-8519477585179729482,4,9916.79
-7463297023495316731,2,9816.22
4338084575062542167,2,9802.72
5738058990778150359,5,9797.1
7633101453834934435,2,9792.69
4001274024315917036,3,9764.75
96420483674358443,5,9748.5
110297160244540602,3,9746.65
833845859170808285,3,9743.03
4235209740154428899,4,9740.91
2168115254185183405,4,9738.87
-3595184844904208292,1,9730.37
-2089233493614530898,2,9730.04
1692470031861188117,3,9699.61
-3740351601603371532,2,9684.88
-5942618694922132210,1,9644.07
-527547010984637802,3,9638.32
-1422789724063312420,4,9617.81
-3806454331383356323,1,9601.49
4243359542586742271,1,9597.32
126323905526054885,3,9592.57
360107795061255027,2,9505.89
7483398675837792075,1,9441.81
2557696649430619075,2,9420.5
4728883552366339981,4,9417.58
-6591584765040905922,3,9409.87
2363427516614785833,1,9369.89
-3964027006694979662,4,9348.83
-1600357106862049854,5,9333.35
-2926544608864332219,4,9261.41
4632461486115383948,2,9255.5
5904950513425044401,5,9218.11
2660363881883180584,4,9211.47
1954726595321513196,3,9176.1
-7044280662015705464,1,9174.37
-3233893134967843800,2,9123.2
1414192481956582458,2,9074.04
5039938759066682418,2,9048.43
8246015212343232957,3,9044.76
-7315562244098681371,4,9017.39
-8991924052116420743,5,9014.55
402499649518649451,3,9004.06
497695004963982030,4,8969.14
-4326095727883833065,3,8961.75
-5672288118040709493,4,8914.96
7719471937653073567,4,8854.74
-4146465674541534322,2,8848.45
-7706584576454184863,1,8777.71
-7264920693629331010,2,8753.13
5486548753499319695,3,8744.1
-7274780528994254536,2,8713.88
8707820673931455350,2,8712.63
3253297348504754863,3,8701.5
987611934480253088,3,8700.98
8262654957639446616,2,8695.29
-1540249984580362572,4,8692.79
2673957667948931974,4,8691.23
3369098286028765577,2,8677.7
705701954059869583,3,8640.84
-7979725299652016223,3,8621
-8662004682994138254,1,8597.69
-5504184910020305904,1,8593.23
-4128485814270791509,3,8556.74
782386086657183744,4,8541.14
-9212215605192879829,5,8528.31
-525019864083392675,2,8525.14
-5287195898177852391,3,8510.71
5378126708165157549,4,8508.89
681072770115081844,1,8498.32
2792745646061534239,1,8498.19
-995989179038507383,3,8467.17
7238145707213097910,2,8418.96
-3842822447590644233,1,8410.8
2151633527560561501,3,8404.13
-3097419695908518998,2,8388.74
6040417597238397185,3,8334.61
650724558152590140,3,8322.03
1800028595592679136,4,8282.32
2607853517156481630,4,8269.85
-3669654429011712629,1,8222.31
-4833574160962858705,3,8189.18
-2782274629719692914,3,8177.36
-2382092700346968550,3,8174.79
-5005412379396673163,2,8159.14
-943417572141224354,1,8147.34
6783216169129972050,1,8125.92
-3778353919421743668,2,8122.96
-3521570712447105785,3,8080.86
3500030998190469033,1,8008.36
2446583576435287052,1,8007.38
7015751243208288079,6,7997.58
-2559231779203081672,2,7986.17
3537490936296159476,1,7967.49
-1956455799471123353,2,7958.23
4742800268240416322,3,7953.31
-6806496538381010586,2,7949.92
6461500665935680232,2,7942.58
8023139578180374863,2,7925.58
5246339665600204725,2,7924.69
-8245154460789725355,1,7917.1
96952368940573844,4,7893.95
3338583752844888495,4,7804.59
-3317613112032752549,2,7794.18
-2044525731058224075,3,7770.63
7625151104225382062,3,7745.27
6086054442112029207,4,7684.06
1985066015784060513,2,7671.73
725819657271832470,1,7665.43
-8337603239137769262,3,7633.04
-6111233024550474691,2,7627.46
7901101082224992506,3,7616.47
7948242481884233374,5,7593.51
7605779915022900977,3,7570.33
-4250257667659694567,1,7566.9
25523849551830174,3,7538.43
-4443941351016579102,3,7510.43
-1628399413153437092,3,7502.09
5702201347378524610,2,7490.63
1410766282081953726,2,7465.5
23205637394304079,1,7452.75
1486269202157368580,3,7428.4
-124416738657732054,3,7426.69
-916018901641381989,1,7399.14
-5435863809392568488,3,7392.13
1643007421079031366,3,7388.59
1833446804176943981,3,7383.04
-2286121084047328586,2,7379.52
-5243249696832127641,2,7366.97
2235146925010222372,2,7364.52
-5855902772494347255,1,7337.12
1919252488266061301,3,7336.4
7054535233951626117,2,7328.26
-8837486803766775911,3,7325.18
-7458284411368860919,3,7321.3
-5787149749637370542,2,7316.72
2614535335971262875,1,7314.21
6721368207380807672,3,7268.62
-4283705125050045775,2,7263.38
1718445380135628507,2,7249.79
-2688575016574817273,4,7248.56
7779794001642927722,1,7243.69
-8420247055408956939,2,7241.28
-3996130567906706031,3,7175.21
8237440579277529320,2,7170.3
4879018681684061057,2,7158.29
-427901544188903738,1,7152
-4850128394057185039,2,7151.44
-3891799535635107184,1,7121.04
-3790174456893765438,1,7110.64
3545226543304059406,2,7108.17
5860040441357864836,2,7107.26
-5193501763308528730,2,7076.67
-7001330782953138644,3,7045.64
5169811775386381177,4,7006.11
-6406252524475079774,3,6990.91
8252049680257307870,2,6939.53
-2838131191214985324,3,6934.82
511306142673922967,2,6919.51
-3374798580855437033,2,6914.5
-2450420048310688831,4,6895.16
7186179862718650226,4,6886.24
-5548626043391277547,1,6876.95
3128346080818064943,3,6876.31
7386284606596719494,1,6844.94
8727886603044309608,2,6835.88
8572065833541067570,3,6826.11
-5872655159758682104,3,6799.55
-1938844103824896804,3,6771.32
-3454803911727457387,2,6757.81
-7005068672207646046,2,6721.97
-7852873764710100379,2,6712.12
8737904216943009543,1,6699.98
-8828485483935510167,1,6692.45
-1455587143007376117,2,6669.22
-6746109342963183111,2,6626.56
-5425822374635395962,2,6611.32
5507017962141202901,4,6587.72
1342011683096283966,2,6587.22
-3479748637542932167,2,6577.77
5955996256383393555,3,6563.94
-9009027116972453812,3,6557.67
-8718513883756367187,2,6526.05
-3625986296545845275,2,6522.55
-5019500424750276540,4,6446.04
1674519345890922339,2,6373.07
2692252814664841420,2,6359.09
1432030628353616952,3,6347.31
-8664226801300066799,1,6324.5
-3619774902285750537,2,6317.82
3737476101090953560,2,6311.47
-7505073386217276715,3,6300.88
3132713209420183794,2,6288.24
442700012927036086,2,6254.03
1827525864748426969,3,6247.41
370776157391151471,2,6189.27
2468613413790569962,2,6177.74
-3698715944356523635,1,6176.28
-3306081492553582243,3,6127.52
-1575568903823708779,3,6109.95
-8653134545770824970,5,6086.58
3870936018562193806,1,6085.99
-8170767181411684358,2,6027.23
-3831053489864309615,2,6024.16
-1129245846998279892,2,6021.2
1315909179558720856,1,6004.73
-785918376371726152,4,5984.26
229659403907241628,2,5964.03
-3441817334780218976,3,5879.54
5718256883954408559,5,5871.19
4890610954592170159,1,5823.9
1302793316757963281,3,5823.13
5840989680794618359,2,5817.03
-3710300013146938982,3,5809.99
-1528342758610414173,2,5762.67
-2912349496553967096,3,5724.47
-6232462169423691904,4,5701.69
-3161077733010453270,1,5672.65
-1705567656789230550,3,5671.47
8127821190916545007,3,5662.38
-8523786849548846197,1,5661.27
-2915617926635261370,1,5645.42
-7517122050688946325,2,5642.25
-2472121665858368065,2,5592.78
550548604636194818,2,5583.1
2029411017651594797,1,5532.35
-5900508874710289271,3,5521.12
-370040800742574586,1,5456.91
1748850196903640590,2,5434.58
3828489402126180181,4,5425.77
4359734039203297241,3,5317.34
5217482232275368447,1,5314.72
3699501275671247221,2,5296.53
-8362262076845031496,2,5255.53
-7124285542253873802,2,5247.68
-3500360157113850170,2,5242.21
-2811401874374812133,3,5236.28
-5815994948303566811,4,5214.14
-5130251640377916806,3,5207.27
-3898190775374463455,1,5197.04
1242702173996809672,3,5187.96
-2857625742286113087,1,5174.87
9161266621894464142,2,5163.98
1303166580410243576,2,5157.7
7160103031267811503,2,5151.6
-8999043815210640271,2,5147.91
-735195283917009938,4,5129.89
3160466582585841541,2,5105.15
1895169815149463892,3,5081.23
-2372566227720658108,2,5050.86
2728016888932055098,2,5044.11
-1649109113533567644,2,5019.94
4817872721795930258,2,4980.79
-1413353248485807988,2,4980.6
-7578392365832330534,3,4949.83
1348628767750346568,2,4919.37
-491008130009938170,1,4879.04
2458386087029137726,3,4781.14
5933946980963336571,1,4747.51
2946034497924688270,2,4745.23
3536599396552332419,2,4698.3
575076420255114647,2,4686.22
9143026746706568047,1,4684.05
-6873856301616164681,1,4681.88
2266929077628653089,1,4678.45
7636697199813681866,3,4673.9
-4927583775890342286,3,4673.74
5168217624428333269,1,4657
5864434136261539606,2,4646.64
5457579006613446251,3,4609.64
-8860956620340213082,2,4606.45
7777617959335964297,1,4600.8
-2363057547259815302,1,4593.51
214815589036292259,1,4589
6553057475474902760,2,4585.79
-2770034185881249835,2,4574.32
-3370947432158351308,2,4564.14
6432423795575989746,2,4560.46
6995361326527244454,1,4553.18
-7344625668758992797,2,4530.07
8870337845871558705,2,4507.81
4615698995419114991,1,4506.07
-1081244318492938209,2,4505.52
4499634637632764982,2,4478.24
516756265783511606,2,4476.45
7890028470327016874,2,4470.1
1133291264745485029,3,4441.54
2225200895970743819,2,4435.16
-3358166938945154091,1,4382.97
6041738807736529891,3,4374.43
-201143278454668794,2,4353.17
8695538812046650899,2,4352.81
5065874065481010544,2,4345.39
-3361520037991984333,2,4337.1
-6962467009847730109,1,4335.49
4658987145290309752,1,4333.02
1918051884954877495,4,4332.39
9062076460741507794,1,4306.65
2341584411913372908,2,4292.99
6994138446225105240,4,4280.14
6982057692931353689,2,4279.5
-3870393363953820337,4,4278.44
-4811460636373566224,2,4274.54
-6967665175704186802,3,4269.86
6514818688066199285,3,4243.78
2365812445188879293,1,4226.17
5661324149620379136,2,4198.21
2244115507960155488,1,4193.69
-7464005179624146568,1,4187.98
-6271375492864093369,2,4168.1
-2662802570499113336,1,4162.13
-37017254441846224,2,4129.24
6960384096211146044,3,4122.58
-8999173799074295936,2,4122.51
-5060649593722882537,1,4114.33
-959258705875063399,1,4113.11
4930459202075230225,1,4095.43
-8077133246927111284,4,4076.05
-6635692061756374512,1,4069.98
-6734082159710365848,1,4066.06
-8750160764263149505,2,4066.05
5290909207029642882,3,4062.1
-5690598808366205962,4,4053.43
8758548117962051776,2,4050.49
-1383475760354943287,1,4040.03
5597410157328510489,2,4034.02
-4838075624686136698,1,4005.49
-3907980960950786228,2,3999.49
7404622440659939534,3,3993.09
2771441012488668836,1,3984.91
-6835156257740877173,2,3979.37
-6274087692504687120,2,3942.5
4211647969989112053,2,3940.1
-3123653390404483437,2,3919.3
-7156262378184648369,2,3902.53
-6889997526888689977,2,3893.51
-2377887304796975129,1,3876.41
-4664852731878102858,2,3872.53
7080383309337781953,2,3869.77
1576925889103298392,2,3828.96
-5249860111141851990,1,3818.59
-2179987900487660275,3,3817.18
-4084561520952393937,2,3794.94
-6481956745242992814,2,3772.1
-713604098439742368,2,3761.55
5364429222007961736,1,3696.45
-7533350378175437011,2,3673.9
6180351066597236090,1,3634.12
-7769640056895080481,3,3618.79
-7931085645920513447,2,3607.42
2287599437899865974,1,3589.96
1584196155313138000,4,3565.31
7888425817430781924,4,3546.35
5207156251055528691,1,3523.2
-6889466789230860309,3,3511.45
-6539886001004914181,2,3495.71
-4055964330761714222,3,3490.8
-1999697724820635925,3,3486.12
1830292578679444210,2,3480.99
-153360076162072105,2,3465.62
8902266413562182860,2,3450.93
2729892570176611616,2,3450.32
581956658360114478,1,3422.19
-4355759224846430764,1,3414.45
267943095796786279,2,3413.49
-6276143576401693938,4,3390.92
6692576929128560074,2,3384.43
-8401576678419963180,2,3364.41
-4875380430113857122,3,3348.74
8100717271416668839,2,3346.53
5261924595176397370,4,3343.23
-4402867251654078566,2,3339.83
-6238593596910437427,1,3331.89
4536447201717249852,2,3329.29
-7776226244859928217,2,3317.14
2317066015581703602,1,3295.88
404280023041566627,2,3265.16
7174206202140031548,1,3238.9
-3612070726569192089,3,3229.71
7208345454847621735,2,3207.77
2567320128201628757,4,3194.79
1187812281275904891,1,3159.56
2145337955004720750,1,3146.24
7575182858247961742,2,3134.78
1528833137214578276,4,3120.72
-119820340999716224,1,3100.08
6354212712402926980,1,3090.48
3223852836867827573,2,3081.52
-6429865559385774249,1,3074.33
4096132204665981481,1,3072.88
-8774488963715183453,1,3065.86
1308939222148865937,1,3039.37
5471443285807600637,2,3035.18
5197160109018162947,2,3024.55
-6512044499327963884,2,3001.78
-2862563444422210346,2,2971.29
-5336693751953218628,1,2965.86
-2214171594178498180,1,2950.61
3281835016492846413,1,2944.19
-7192831972823449856,2,2914.37
-7953549465657904214,2,2912.79
-3218669075504586738,2,2912.28
3970983462738191336,3,2894.78
-3396911593123706351,3,2868.45
8973275326138342032,2,2863.8
153839876875292565,2,2850.09
909952474381432578,2,2829.05
253241443259684758,1,2823.61
2822510940178451254,1,2802.64
379422943426485616,1,2762.56
3400775887643739096,2,2759.27
-6593085151442498068,2,2740.17
-7001672635703045582,1,2739.59
2876781359020378285,1,2734.12
1800142122849465514,1,2732.91
-3650685941430621744,1,2719.92
7696263460724528518,1,2715.76
-1562606693032854264,1,2714.32
6548800319840200052,1,2688.69
-3069041474468904433,2,2678.06
471058184580881243,3,2668.19
894245300658690669,2,2666.77
-7008946869907147766,1,2659.7
1976180951843314813,3,2626.81
2193830309161501746,2,2621.12
-7324797712414972101,1,2603.05
7117171436658277241,4,2590.07
-4882267767371871221,1,2539.45
8352459272674019868,2,2504.92
1647761597887573826,1,2503.52
-829860481669209628,2,2502.78
3635353652895327069,1,2482.43
-5237826762444074096,1,2481.4
-3043984937993264328,1,2452.7
6621710284989100017,2,2437.55
-3780946775588090589,1,2435.39
4529017104330169242,1,2434.51
4938780984990368346,1,2430.77
622840016652365513,3,2425.17
-5791688046649381544,2,2422.13
1507134560026806432,3,2419.4
-5275969763942358892,1,2407.43
5852111541565997819,1,2391.51
6685387754996153755,2,2383.46
715422782555130402,1,2374.1
-3341702809300393011,1,2360.64
-8498717792682703745,1,2347.82
-280647389260105678,2,2334.57
19158802348084362,1,2325.89
9005497531636293628,1,2323.28
2421480054380062145,1,2313.87
-5439103782162486036,1,2305.11
1629331172340730354,1,2300.48
6877090391958028107,1,2298.59
-8862044422124876747,1,2297.02
-4570320725958953230,1,2290.34
7195078828865666583,3,2279.79
6286348294546515533,2,2278.6
3619591245247637768,3,2248.24
442252766586627848,1,2245.16
-4290419421211267567,3,2225.68
-8758239530384650157,2,2203.27
8291017860178702292,1,2193.76
-91328936634005856,1,2191.42
-4093145359567328997,2,2178.71
8218828033484716667,1,2177.11
-1294849464716377183,1,2176.6
-6739499467450043820,1,2173.68
-6699830548717778016,2,2165.67
8197664492541471577,2,2149.03
-2461700760786797533,2,2148.4
1359640877789458880,1,2138.13
2100768918466180948,1,2118.41
5158440465238508361,1,2102.21
2359433794254277320,2,2101.78
8294242783635728245,2,2094.63
2658141557030286886,1,2091.34
-2993846004524326625,3,2071.87
754266627835034505,1,2069.85
-7647674033635243958,3,2069.59
-953079359756063462,1,2068.69
7615772769102083511,1,2062.03
3232723448064780155,1,2040.05
-8977855159642660551,1,2029.47
1208287020903664573,2,2023.58
2904142254327556561,1,2015.1
-2321925088236826683,1,2009.34
3089274671260781161,2,2008
4262758885474951942,3,2002.29
-2215453736388431503,1,1983.6
912858737304130772,1,1969.36
6635091223815936473,1,1968.28
725369606912472613,1,1964.63
-2493923107862779073,1,1959.06
4635309912444242105,3,1933.64
-5545341551478469589,1,1924.66
-3210726661106676526,2,1924.13
1302552738586118734,1,1910.01
3156306449246749885,1,1902.44
3866546113718701891,2,1896.66
-6771759631091044984,1,1894.65
-5036664944661604826,1,1887.01
407015889440929728,1,1858.26
-6040208817050359969,1,1856.24
-3498081828966171271,2,1847.36
-6139663099380286352,1,1845.43
5737528853956803943,2,1843.05
-4730674807844949165,2,1832.87
-20639156210651973,1,1821.92
-394202775432416601,2,1816.36
1191043548988849842,1,1785.33
239496860767368542,1,1783.29
-7930622053532209594,1,1780.82
3619890713824938111,1,1736.46
7153046902411290674,5,1729.67
5932935948111096786,1,1694.59
1850181744015531171,2,1657.93
-2509946625983093570,2,1655.8
-8813528960643327274,1,1611.82
-6210263930176952545,3,1606.08
-1073492650966425241,1,1605.74
-2150443326150821020,1,1604.9
2679128751149744724,1,1579.03
-3210890325714571397,1,1577.8
-2952515833405150181,1,1568.09
4496142563113378025,1,1561.2
-1106092441375270534,1,1558.93
-8246979602916950833,1,1547.6
-8212414130087531664,1,1547.2
-2636593109502871101,2,1526.42
3213403495029226823,1,1496.03
-8064375854650066783,1,1485.05
-7448149411174558746,1,1480.97
1647276927272497026,2,1463.76
8494791406908697619,1,1433.18
-3299529084265651762,1,1426.3
-7524904006179633273,1,1411.21
-92978058107877097,2,1400.26
6413045735998342458,1,1389.45
-2647047347090477758,1,1374.17
-125733688653030249,1,1338.69
5500804098420005110,1,1324.64
-4882102839951578702,2,1287.71
6361635073411217676,1,1280.05
6430589778378293801,1,1253.98
-8429488643799384656,1,1253.32
-1299157270868399078,2,1213.27
-6806497963525347770,1,1202.3
3469131482757810265,2,1196.18
2810188141937820276,1,1196.08
-8198997064428780850,1,1188.84
4941585403990904719,3,1168
778434360563044967,3,1124.62
2579080017833031950,2,1102.77
-7782550539228939814,2,1091.38
1437179995175476753,1,1072.21
5069365886435680223,1,1049.19
6793603606389996985,1,1047.41
-5157091519755556137,1,1031.16
-5524586353528089111,1,1023.28
3459293513089416905,1,996.83
5920841545911401779,1,992.08
-2864211556195259663,1,960.34
-3012365982283157544,1,945.76
873406496382104797,2,942.71
-5123993838617330689,2,935.04
8277939627041820991,2,887.84
9036240130903380650,2,870.57
2485437472567919603,1,856.38
-3232015548431317728,1,855.11
5736658603404006212,2,853.01
-4359630884165769134,3,849.49
2086735599342668820,1,830.62
2637892428256321003,1,830.05
8847219760918923847,2,829.94
-8904908385958948814,2,792.42
193557554388334144,2,791.53
7029784906440077909,1,769.12
-6092192783764503640,1,764.7
2049401601507669876,1,761.6
3294392820306382644,1,746.54
-6069256032696567211,1,739.16
-130341265338635981,2,722.95
7978301777606430359,1,722.29
-2680370170668354145,1,706.2
-2641307967264832380,2,690.34
-8952493963072075895,1,685.13
8237232211017814222,1,676.47
2882812533637242066,1,672.11
2907433959074228804,1,671.19
7362125889262863586,2,648.6
-8449308297430626118,1,615.55
4505994384875577069,3,584.32
-6698239029558477005,1,570.25
725624900384825559,2,569.5
8674679035199503074,1,561.62
-880610295159541931,1,559.62
-78634408927018828,1,555.41
-7449598549972235930,2,554.45
-8177427028748117988,2,536.09
408892155695347992,1,523.34
-4708371471998275031,1,500.76
2195702819304107316,1,497.31
-3318344699763605743,1,491.58
4480780771348979494,2,458.92
5344523620003403088,2,458.14
-8568247113206894364,1,452.14
473382972992858970,1,439.76
-2096188528877492988,1,439.64
7787176936339847611,1,425.47
-6410766479587211425,2,420.48
-8108120818707743731,2,420.27
-2220019469221825739,1,410.47
3862517610015492721,1,404.39
6481693022614871326,1,399.95
-7736746020837648153,1,397.9
-8262231267232892834,1,397.24
-4873950090659564693,2,386.22
-5351046615295390929,1,383.32
7626392314797966638,1,365.31
129120814885648284,1,352.95
4928817585671543737,1,350.57
-5545553248420449642,1,340.29
-1461836562690338098,2,331.04
4786430618544151498,1,329.34
588497211349176984,1,328.05
2216416820922248212,1,309.97
6373118647392277207,1,301.55
7453007034900992500,2,301.51
-991486001172003525,1,290.83
-6654252334196547905,3,276.59
-1050924095898975416,1,273.03
5721159333979053663,1,260.48
-2875232415313208965,1,254.67
-1978733211259555999,1,237.84
2697905522837302379,1,217.19
-8369280276585650507,1,216.27
-8505531118463955770,1,212.41
8050134384885366905,1,209.82
-1916307488921249248,1,209.15
-3808164168929084639,1,196.71
2822738382711741794,1,195.3
-1392376081366824361,1,181.96
2621752256875231343,1,170.72
7733257362993298504,1,160.1
1239211992118927913,1,152.47
-2194956094787509975,1,146.03
-6473182581176366014,1,144.71
-2357441539388539367,1,91.53
3307993610526851497,1,74.89
-3486046879299725450,1,51.74
6386029744139309681,1,47.49
3188756510806108107,1,30.64
-3609526024935715662,1,28.79
7348034558472861267,1,24.31
3564348019311947284,1,null
-2435602261901100845,1,null
8462794545329722253,1,null
-8205985017133401903,1,null
-2459088694522455199,1,null
-7311102842538162744,1,null
8710841968197423534,2,null
7226384926986589375,1,null
-1851501055165582022,1,null
-5166174076222230179,1,null
6048652539114821537,1,null
-473306070794488963,1,null
6537914243047605855,1,null
2991378101923573941,1,null
-921868895524962003,1,null
3325640068239126896,1,null
-4566695328531345569,1,null
