hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,97,2015,July,28,5,2,5,2,2,0,HB,PRT,Direct,Direct,0,0,0,C,C,1,No Deposit,250,NULL,0,Transient,164.2,1,1,Check-Out,2015-07-12
Resort Hotel,0,8,2015,July,28,5,4,5,2,2,0,BB,CHE,Online TA,TA/TO,0,0,0,H,H,1,No Deposit,240,NULL,0,Transient,175.0,1,1,Check-Out,2015-07-14
Resort Hotel,0,115,2015,July,28,6,1,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,NULL,0,Transient,167.0,0,0,Check-Out,2015-07-11
Resort Hotel,0,94,2015,July,28,6,1,3,3,0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,96,NULL,0,Transient,171.32,0,1,Check-Out,2015-07-10
Resort Hotel,0,81,2015,July,28,6,1,3,2,2,0,HB,CHE,Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Transient,210.0,1,0,Check-Out,2015-07-10
Resort Hotel,1,48,2015,July,28,6,1,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,167.0,0,0,Canceled,2015-06-03
Resort Hotel,0,34,2015,July,28,6,1,4,2,0,0,HB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,175.0,1,0,Check-Out,2015-07-11
Resort Hotel,0,68,2015,July,28,6,2,5,2,2,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,185.0,0,0,Check-Out,2015-07-13
Resort Hotel,0,111,2015,July,28,6,3,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,151.0,0,1,Check-Out,2015-07-14
Resort Hotel,0,33,2015,July,28,6,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,F,F,5,No Deposit,250,NULL,0,Transient,157.1,0,1,Check-Out,2015-07-16
Resort Hotel,0,21,2015,July,28,7,0,3,2,1,0,HB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,185.5,0,1,Check-Out,2015-07-10
Resort Hotel,0,0,2015,July,28,7,0,1,3,0,0,HB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,NULL,NULL,0,Transient,195.0,1,0,Check-Out,2015-07-08
Resort Hotel,0,8,2015,July,28,7,0,4,3,2,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240,NULL,0,Transient,193.0,0,1,Check-Out,2015-07-11
Resort Hotel,0,33,2015,July,28,8,2,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,155.0,0,0,Check-Out,2015-07-15
Resort Hotel,1,44,2015,July,28,9,0,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,153.0,0,0,Canceled,2015-06-16
Resort Hotel,0,13,2015,July,28,10,0,2,2,1,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,2,No Deposit,240,NULL,0,Transient,185.0,1,1,Check-Out,2015-07-12
Resort Hotel,0,30,2015,July,28,10,2,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,NULL,NULL,0,Transient-Party,197.0,0,1,Check-Out,2015-07-14
Resort Hotel,0,30,2015,July,28,10,2,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,NULL,NULL,0,Transient-Party,197.0,0,1,Check-Out,2015-07-14
Resort Hotel,0,21,2015,July,28,10,2,3,2,0,2,HB,PRT,Direct,Direct,0,0,0,C,C,1,No Deposit,250,NULL,0,Transient,165.0,1,3,Check-Out,2015-07-15
Resort Hotel,0,31,2015,July,28,10,2,5,2,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,NULL,0,Transient,161.0,1,1,Check-Out,2015-07-17
Resort Hotel,0,44,2015,July,28,10,2,5,1,0,0,HB,RUS,Offline TA/TO,TA/TO,0,0,0,E,E,2,No Deposit,244,NULL,0,Transient,152.0,0,0,Check-Out,2015-07-17
Resort Hotel,0,11,2015,July,28,10,2,6,3,1,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250,NULL,0,Transient,159.75,1,0,Check-Out,2015-07-18
Resort Hotel,1,100,2015,July,28,11,2,3,2,1,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,149,NULL,0,Transient,153.96,0,0,Canceled,2015-05-29
Resort Hotel,0,0,2015,July,28,11,0,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,NULL,NULL,0,Transient,153.0,0,0,Check-Out,2015-07-12
Resort Hotel,0,40,2015,July,28,11,2,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,166.0,0,0,Check-Out,2015-07-18
Resort Hotel,0,79,2015,July,28,11,2,6,2,2,0,HB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,250,NULL,0,Transient,213.75,0,0,Check-Out,2015-07-19
Resort Hotel,0,32,2015,July,28,11,4,6,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,NULL,0,Transient,178.0,1,0,Check-Out,2015-07-21
Resort Hotel,0,53,2015,July,29,12,1,0,2,2,0,BB,CN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,153.0,1,0,Check-Out,2015-07-13
Resort Hotel,0,8,2015,July,29,12,2,4,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,169.0,1,2,Check-Out,2015-07-18
Resort Hotel,1,58,2015,July,29,12,2,5,3,1,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250,NULL,0,Transient,164.57,0,1,Canceled,2015-06-29
Resort Hotel,0,34,2015,July,29,12,2,0,2,2,0,BB,BEL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,193.0,0,1,Check-Out,2015-07-14
Resort Hotel,0,8,2015,July,29,12,2,3,2,2,0,BB,IRL,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,196.0,0,1,Check-Out,2015-07-17
Resort Hotel,0,47,2015,July,29,13,2,5,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,175.71,0,0,Check-Out,2015-07-20
Resort Hotel,0,9,2015,July,29,13,1,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,161.0,1,2,Check-Out,2015-07-15
Resort Hotel,0,58,2015,July,29,13,1,2,2,0,0,HB,ESP,Direct,Direct,0,0,0,E,F,2,No Deposit,250,NULL,0,Transient,165.0,1,1,Check-Out,2015-07-16
Resort Hotel,0,109,2015,July,29,13,1,4,3,0,0,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,163.8,0,1,Check-Out,2015-07-18
Resort Hotel,0,32,2015,July,29,13,1,5,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,2,No Deposit,300,NULL,0,Transient,153.0,0,0,Check-Out,2015-07-19
Resort Hotel,0,118,2015,July,29,13,2,5,2,0,0,FB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient,184.6,0,1,Check-Out,2015-07-20
Resort Hotel,0,81,2015,July,29,13,2,5,2,1,0,HB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,181.22,0,2,Check-Out,2015-07-20
Resort Hotel,0,73,2015,July,29,14,1,5,2,1,0,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient-Party,161.5,0,2,Check-Out,2015-07-20
Resort Hotel,0,317,2015,July,29,14,1,5,2,2,0,HB,PRT,Direct,TA/TO,0,0,0,H,G,1,No Deposit,240,NULL,0,Transient,230.67,1,2,Check-Out,2015-07-20
Resort Hotel,0,6,2015,July,29,14,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,180.0,1,2,Check-Out,2015-07-21
Resort Hotel,0,8,2015,July,29,14,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient,168.57,0,1,Check-Out,2015-07-21
Resort Hotel,0,113,2015,July,29,14,4,11,3,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,1,No Deposit,NULL,NULL,0,Transient,187.5,1,3,Check-Out,2015-07-29
Resort Hotel,0,37,2015,July,29,15,2,6,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,216.13,1,0,Check-Out,2015-07-23
Resort Hotel,0,83,2015,July,29,15,2,7,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,190.33,0,1,Check-Out,2015-07-24
Resort Hotel,1,66,2015,July,29,16,0,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195.0,0,1,Canceled,2015-07-02
Resort Hotel,0,7,2015,July,29,16,0,1,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,242,NULL,0,Transient,169.0,1,1,Check-Out,2015-07-17
Resort Hotel,0,0,2015,July,29,16,0,2,2,2,0,BB,PRT,Direct,Direct,0,0,0,H,G,1,No Deposit,NULL,NULL,0,Transient,198.0,1,0,Check-Out,2015-07-18
Resort Hotel,0,10,2015,July,29,16,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient,184.0,1,0,Check-Out,2015-07-19
Resort Hotel,1,17,2015,July,29,16,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,151.33,0,0,Canceled,2015-06-30
Resort Hotel,0,10,2015,July,29,16,2,3,2,0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient-Party,150.2,0,1,Check-Out,2015-07-21
Resort Hotel,0,10,2015,July,29,16,2,3,1,0,0,BB,IRL,Direct,Direct,0,0,0,D,D,1,No Deposit,250,NULL,0,Transient-Party,150.2,0,1,Check-Out,2015-07-21
Resort Hotel,0,113,2015,July,29,16,2,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,166.0,0,1,Check-Out,2015-07-22
Resort Hotel,0,21,2015,July,29,16,4,10,1,0,0,HB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,NULL,NULL,0,Transient,160.0,0,0,Check-Out,2015-07-30
Resort Hotel,0,17,2015,July,29,17,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,164.0,0,2,Check-Out,2015-07-19
Resort Hotel,0,11,2015,July,29,17,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,155.5,1,0,Check-Out,2015-07-19
Resort Hotel,0,24,2015,July,29,17,2,3,3,1,0,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,NULL,NULL,0,Transient,195.0,0,1,Check-Out,2015-07-22
Resort Hotel,0,24,2015,July,29,17,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,164.0,0,0,Check-Out,2015-07-23
Resort Hotel,0,23,2015,July,29,17,2,5,2,2,0,BB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Transient,195.0,0,0,Check-Out,2015-07-24
Resort Hotel,1,23,2015,July,29,17,2,5,2,2,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Transient,195.0,0,0,Canceled,2015-06-24
Resort Hotel,0,65,2015,July,29,17,2,6,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,167.0,1,2,Check-Out,2015-07-25
Resort Hotel,0,99,2015,July,29,17,2,6,3,0,0,BB,FRA,Direct,Direct,0,0,0,H,H,0,No Deposit,250,NULL,0,Transient,210.0,0,1,Check-Out,2015-07-25
Resort Hotel,0,25,2015,July,29,17,3,7,2,0,0,HB,ESP,Direct,Direct,0,0,0,F,F,1,No Deposit,NULL,NULL,0,Transient,194.9,0,2,Check-Out,2015-07-27
Resort Hotel,0,38,2015,July,29,17,1,2,2,1,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,NULL,0,Transient,192.0,0,1,Check-Out,2015-07-20
Resort Hotel,1,32,2015,July,29,17,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,154.0,0,0,Canceled,2015-06-24
Resort Hotel,0,9,2015,July,29,17,2,2,3,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,164.0,0,1,Check-Out,2015-07-21
Resort Hotel,1,37,2015,July,29,18,2,4,2,2,0,HB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242,NULL,0,Transient,168.3,0,0,Canceled,2015-07-18
Resort Hotel,0,45,2015,July,29,18,2,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,167.0,0,0,Check-Out,2015-07-25
Resort Hotel,1,123,2015,July,29,18,2,2,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,NULL,0,Transient,157.0,0,2,Canceled,2015-06-04
Resort Hotel,1,42,2015,July,29,18,2,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,210.0,0,0,Canceled,2015-06-11
Resort Hotel,0,1,2015,July,29,18,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,173.0,0,1,Check-Out,2015-07-19
Resort Hotel,0,0,2015,July,29,18,0,1,2,2,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,NULL,NULL,0,Transient,249.0,0,0,Check-Out,2015-07-19
Resort Hotel,0,4,2015,July,29,18,1,1,1,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,186.5,0,0,Check-Out,2015-07-20
Resort Hotel,0,73,2015,July,29,18,2,5,2,1,0,FB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,241.5,0,2,Check-Out,2015-07-25
Resort Hotel,0,44,2015,July,29,18,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,177.0,1,0,Check-Out,2015-07-25
Resort Hotel,0,95,2015,July,29,18,2,5,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,5,NULL,0,Transient,153.73,1,0,Check-Out,2015-07-25
Resort Hotel,1,60,2015,July,29,18,2,6,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,167.0,0,0,Canceled,2015-06-01
Resort Hotel,0,4,2015,July,30,19,2,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,154.5,1,2,Check-Out,2015-07-21
Resort Hotel,1,37,2015,July,30,19,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,154.0,0,0,Canceled,2015-06-29
Resort Hotel,1,62,2015,July,30,19,2,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,261,NULL,0,Transient,158.5,0,1,Canceled,2015-06-17
Resort Hotel,1,62,2015,July,30,19,2,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,261,NULL,0,Transient,158.5,0,1,Canceled,2015-06-17
Resort Hotel,1,31,2015,July,30,19,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,154.0,0,0,Canceled,2015-06-19
Resort Hotel,1,24,2015,July,30,19,2,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,214.0,0,0,Canceled,2015-06-29
Resort Hotel,1,47,2015,July,30,19,3,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195.0,0,0,Canceled,2015-07-14
Resort Hotel,1,118,2015,July,30,20,1,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,179.1,0,2,Canceled,2015-05-13
Resort Hotel,0,96,2015,July,30,20,1,3,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,157.0,1,0,Check-Out,2015-07-24
Resort Hotel,1,60,2015,July,30,20,1,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195.0,0,0,Canceled,2015-06-17
Resort Hotel,1,41,2015,July,30,20,1,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,214.0,0,1,Canceled,2015-06-22
Resort Hotel,1,28,2015,July,30,20,2,5,2,1,0,FB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,NULL,NULL,0,Transient,240.64,0,0,Canceled,2015-07-20
Resort Hotel,0,65,2015,July,30,20,2,5,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,105,NULL,0,Transient,167.5,0,0,Check-Out,2015-07-27
Resort Hotel,0,82,2015,July,30,20,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,152.43,0,3,Check-Out,2015-07-27
Resort Hotel,0,62,2015,July,30,20,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,NULL,0,Transient,167.0,0,1,Check-Out,2015-07-27
Resort Hotel,1,86,2015,July,30,20,2,5,2,1,0,HB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NULL,0,Transient,172.93,0,1,Canceled,2015-05-11
Resort Hotel,1,118,2015,July,30,20,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,179.1,0,1,Canceled,2015-04-23
Resort Hotel,0,28,2015,July,30,20,2,5,2,1,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,15,NULL,0,Transient,192.5,0,1,Check-Out,2015-07-27
Resort Hotel,1,7,2015,July,30,20,3,8,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196,NULL,0,Transient,200.0,0,0,Canceled,2015-07-14
Resort Hotel,1,7,2015,July,30,20,3,8,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196,NULL,0,Transient,200.0,0,0,Canceled,2015-07-14
Resort Hotel,1,42,2015,July,30,21,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,157.0,0,0,Canceled,2015-07-08
Resort Hotel,1,63,2015,July,30,21,0,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195.0,0,0,Canceled,2015-06-19
Resort Hotel,0,8,2015,July,30,21,0,5,3,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,250,NULL,0,Transient,207.0,1,0,Check-Out,2015-07-26
Resort Hotel,0,89,2015,July,30,21,1,5,3,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,250,NULL,0,Transient,163.33,1,1,Check-Out,2015-07-27
Resort Hotel,0,57,2015,July,30,21,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,151.86,0,0,Check-Out,2015-07-28
Resort Hotel,0,28,2015,July,30,21,2,7,2,1,0,BB,IRL,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,160.0,0,1,Check-Out,2015-07-30
Resort Hotel,0,0,2015,July,30,22,0,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,153.0,1,0,Check-Out,2015-07-23
Resort Hotel,0,44,2015,July,30,22,0,4,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,242,NULL,0,Transient,167.69,0,1,Check-Out,2015-07-26
Resort Hotel,1,44,2015,July,30,22,0,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195.0,0,1,Canceled,2015-06-09
Resort Hotel,1,41,2015,July,30,22,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,178.4,0,0,Canceled,2015-06-29
Resort Hotel,0,3,2015,July,30,23,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,NULL,0,Transient,154.0,1,1,Check-Out,2015-07-24
Resort Hotel,0,33,2015,July,30,23,0,3,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,NULL,0,Transient-Party,194.0,1,1,Check-Out,2015-07-26
Resort Hotel,1,19,2015,July,30,23,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,153.0,0,0,Canceled,2015-07-07
Resort Hotel,0,33,2015,July,30,23,0,3,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,NULL,0,Transient,184.0,0,1,Check-Out,2015-07-26
Resort Hotel,1,19,2015,July,30,23,1,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,210.0,0,0,Canceled,2015-07-06
Resort Hotel,1,19,2015,July,30,23,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,173.0,0,0,Canceled,2015-07-06
Resort Hotel,0,34,2015,July,30,23,2,6,3,0,0,HB,ROU,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,171,NULL,0,Transient,217.05,1,1,Check-Out,2015-07-31
Resort Hotel,0,9,2015,July,30,24,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient-Party,164.0,0,2,Check-Out,2015-07-26
Resort Hotel,0,8,2015,July,30,24,0,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240,NULL,0,Transient-Party,173.0,0,2,Check-Out,2015-07-26
Resort Hotel,0,22,2015,July,30,24,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient-Party,153.0,0,2,Check-Out,2015-07-26
Resort Hotel,0,22,2015,July,30,24,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient-Party,173.0,0,2,Check-Out,2015-07-26
Resort Hotel,0,22,2015,July,30,24,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient-Party,153.0,0,2,Check-Out,2015-07-26
Resort Hotel,0,22,2015,July,30,24,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient-Party,153.0,0,2,Check-Out,2015-07-26
Resort Hotel,1,22,2015,July,30,24,0,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,233.0,0,2,Canceled,2015-07-14
Resort Hotel,0,18,2015,July,30,24,0,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,G,0,No Deposit,250,NULL,0,Transient,154.0,0,0,Check-Out,2015-07-26
Resort Hotel,0,8,2015,July,30,24,0,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240,NULL,0,Transient-Party,173.0,0,2,Check-Out,2015-07-26
