product_id,product_name,category,subcategory,cost_price
PROD00181,Shirts Basic,Clothing,Shirts,32561.96
PROD00182,Laptops Premium,Electronics,Laptops,12863.88
PROD00183,Technology Max,Books,Technology,49734.54
PROD00184,Cameras Basic,Electronics,Cameras,5877.91
PROD00185,Storage Premium,Home,Storage,12711.64
PROD00186,Accessories Pro,Electronics,Accessories,31552.54
PROD00187,Dresses Premium,Clothing,Dresses,33157.9
PROD00188,Jackets Max,Clothing,Jackets,6944.46
PROD00189,Cameras Max,Electronics,Cameras,5974.95
PROD00190,Cameras Basic,Electronics,Cameras,30489.19
PROD00191,Jackets Max,Clothing,Jackets,17960.3
PROD00192,Lighting Plus,Home,Lighting,27452.12
PROD00193,Jeans Premium,Clothing,Jeans,236.63
PROD00194,Headphones Basic,Electronics,Headphones,33484.19
PROD00195,Accessories Basic,Electronics,Accessories,3844.91
PROD00196,Cameras Plus,Electronics,Cameras,22891.89
PROD00197,Dresses Plus,Clothing,Dresses,5080.46
PROD00198,Shirts Basic,Clothing,Shirts,18074.71
PROD00199,Furniture Premium,Home,Furniture,4840.42
PROD00200,Laptops Basic,Electronics,Laptops,33201.42
